141
5.000000000000000104e-03 6.556649999999999026e-61 1.601679999999999759e-60 2.990000000000000000e+02
6.129377568307208674e-03 8.160509999999999292e-03 1.645130000000000203e-02 5.018809999999999718e+02
6.895013067600183447e-03 1.584149999999999794e-02 3.193709999999999605e-02 6.844110000000000582e+02
7.521831113565718985e-03 2.270669999999999980e-02 4.577910000000000312e-02 8.397239999999999327e+02
8.069577752986684810e-03 2.880520000000000302e-02 5.807599999999999568e-02 9.718489999999999327e+02
8.569115055754895904e-03 3.444730000000000014e-02 6.945160000000000222e-02 1.089950000000000045e+03
9.042187484079651505e-03 3.988680000000000697e-02 8.041860000000000674e-02 1.200579999999999927e+03
9.499753788251519282e-03 4.523150000000000087e-02 9.120019999999999516e-02 1.306440000000000055e+03
9.939245371552753172e-03 5.046069999999999722e-02 1.017779999999999935e-01 1.407529999999999973e+03
1.034834831474320052e-02 5.548909999999999954e-02 1.120289999999999897e-01 1.502759999999999991e+03
1.071601574170645728e-02 6.020389999999999769e-02 1.218160000000000076e-01 1.590839999999999918e+03
1.104369168754345924e-02 6.447250000000000203e-02 1.310010000000000063e-01 1.670450000000000045e+03
1.134558627774291846e-02 6.816180000000000849e-02 1.394779999999999909e-01 1.740569999999999936e+03
1.161921764625921741e-02 7.116130000000001066e-02 1.471810000000000063e-01 1.800680000000000064e+03
1.182957178513378144e-02 7.340319999999998790e-02 1.541039999999999910e-01 1.850869999999999891e+03
1.195541087190596895e-02 7.486130000000000562e-02 1.602689999999999948e-01 1.891650000000000091e+03
1.202504683263013255e-02 7.554889999999998829e-02 1.657210000000000072e-01 1.923839999999999918e+03
1.207237008421443644e-02 7.551230000000000442e-02 1.705009999999999859e-01 1.948430000000000064e+03
1.211033138704811947e-02 7.486089999999999411e-02 1.745220000000000105e-01 1.966069999999999936e+03
1.214375857681953240e-02 7.389289999999999747e-02 1.775269999999999904e-01 1.977349999999999909e+03
1.217487575135904262e-02 7.300729999999999720e-02 1.794319999999999804e-01 1.983700000000000045e+03
1.220436205510128970e-02 7.234750000000000902e-02 1.805710000000000093e-01 1.987170000000000073e+03
1.223214663205286594e-02 7.183520000000000183e-02 1.813359999999999972e-01 1.989299999999999955e+03
1.225799927862124619e-02 7.139769999999999450e-02 1.819179999999999964e-01 1.990759999999999991e+03
1.228193447942032245e-02 7.100149999999999517e-02 1.823940000000000006e-01 1.991779999999999973e+03
1.230436607239761282e-02 7.062869999999998871e-02 1.828019999999999923e-01 1.992470000000000027e+03
1.232583574204063406e-02 7.026879999999999238e-02 1.831589999999999885e-01 1.992849999999999909e+03
1.234680803916938727e-02 6.991799999999999404e-02 1.834729999999999972e-01 1.992920000000000073e+03
1.236755739050377986e-02 6.957639999999998270e-02 1.837479999999999947e-01 1.992660000000000082e+03
1.238824110214463946e-02 6.924550000000000149e-02 1.839849999999999819e-01 1.992059999999999945e+03
1.240894456284317125e-02 6.892790000000000028e-02 1.841839999999999866e-01 1.991099999999999909e+03
1.242986531001672411e-02 6.862780000000000269e-02 1.843450000000000089e-01 1.989819999999999936e+03
1.245127517116023652e-02 6.834960000000001035e-02 1.844689999999999941e-01 1.988240000000000009e+03
1.247354514139101950e-02 6.809519999999999462e-02 1.845610000000000028e-01 1.986450000000000045e+03
1.249703034376530887e-02 6.786260000000000903e-02 1.846250000000000113e-01 1.984470000000000027e+03
1.252246138385437746e-02 6.764789999999999692e-02 1.846649999999999958e-01 1.982349999999999909e+03
1.255083041067160850e-02 6.744719999999999882e-02 1.846849999999999881e-01 1.980069999999999936e+03
1.258286482770313609e-02 6.725799999999999834e-02 1.846869999999999901e-01 1.977660000000000082e+03
1.262042046878660180e-02 6.707849999999999924e-02 1.846740000000000048e-01 1.975109999999999900e+03
1.266836742847853720e-02 6.690739999999999188e-02 1.846460000000000046e-01 1.972440000000000055e+03
1.273539420986742783e-02 6.674309999999999965e-02 1.846049999999999913e-01 1.969650000000000091e+03
1.283015614824374422e-02 6.658330000000001192e-02 1.845509999999999928e-01 1.966720000000000027e+03
1.295286178586460384e-02 6.642539999999999556e-02 1.844839999999999813e-01 1.963609999999999900e+03
1.309665089584830834e-02 6.626599999999999158e-02 1.844020000000000103e-01 1.960259999999999991e+03
1.325712728808666613e-02 6.610160000000001035e-02 1.843029999999999946e-01 1.956579999999999927e+03
